"Kekeauk, Kebuk, Pelek","Ribut, Gaduh, Ramai",-
Kekodua,Mengeluarkan diri,-
Keseiyon,Cinta,-
"Ketitisan, Lumbos, Motumos","Keringat, Peluh",-
Kidoon,Sumpah,-
Kibul,Kuburan,-
"Kila, Osoan, Sian",Kawin,-
Kila-kila,Seandainya,-
Kilap,"Kilat, Petir",-
Kilong,Tarika,-
Kaan,Makan,-
Kingkim,Emosi,-
"Kinobian, Popook",Malam Hari,-
"Kinolo, Kinoro",Diundang,-
"Kinolot, Kinorot","Dipotong, Disembelih",-
"Kinondok, Kindondok","Perbaiki, Perbagus",-
"Kinotuuli, Leang",Jemur,-
"Busoi, Kumosi",Cuci,-
Kiis,"Sunyi, Sepi",-
"Kiit, Liit",Marah,-
Kitumbu,Pengabdi,-
Kiyap,"Tapis, Tamis, Nyiur",-
"Kiyoon, Akiyoon",Belum,-
Koan,Puas,-
Kowang,Burung Hantu,-
Kobat,Buai,-
Kobong-kobong,Ubur-ubur,-
Koimbaa,"Disitu, Kesitu",-
"Koila, Oila",Apa,-
"Koiya, Komba, Kea-kai",Itu,-
"Koiyan, Noiyan",Kapan,-
Kokila,Kemauan,-
"Kokil, Sose, Tatangis",Menangis,-
Kokiseiyon,Cendramata,-
Kokolindol,"Melaju, Jalan cepat",-
Kokolondok,Meluncur,-
Kokol,Arus gesek,-
Kokondong,Berdiri,-
Kokot,Pengikat,-
"Kokuulon, Ani, Mumulung",Lebah,-
"Kokuuti, Modukut","Benci, Jijik",-
Kokundu,Sisir Kutu,-
"Kolibang, Kulibang",Kopra,-
Kolis,Cukur,-
Kolua,Rebus,-
"Kololon, Kollon",Ribu,-
Kololion,Kelaparan,-
Mongkoloi,Mengeram,-
Kolio,Hidupkan,-
Kombong,Perut,-
"Komian, Miyan",Orang,-
"Komosi, Kumosio",Cuci,-
"Komeng, Yanila",Mereka,-
Komuyu,Kamu,-
Komulaan,Jerami,-
"Koo, Ikoo",Engkau,-
"Bobosul, Koonoan","Kenyang, Kekenyangan",-
Koot,Utuh,-
Kootiyo,Cicil,-
"Kosu, Kulala",Botak,-
Kotis,"Robek Sedikit, Cubit Sedikit",-
Kotos,Jelas,-
Kowal,Kawat,-
Kowan,Puas,-
Koowan,Peristiwa,-
Kowatan,Batu Asah,-
Koyol,Kandas,-
"Kuate,Kuete, Lomos","Telan, Goyang",-
"Kuayang, Alai, Aloi",Burung Elang,-
"Kubai, Kabai, Tiase",Buat,-
"Kudaan, Tutukan, Tutuan",Lesung,-
Kuda,Tumbuk,-
Kukul,Daki,-
"Kukus, Tibolun",Asap,-
Kukut,Rapat,-
Kukuti,Tebak,-
Kukuuton,Cemberut,-
Kulala,Botak,-
Kulaluk,Tembaga,-
Kulang,Kebutuhan,-
Kulimpas,Ampas Kelapa,-
Kulit,Kulit,-
"Kulus, Kurus, Budul",Bohong,-
"Kumbit, Kimbit",Tawa,-
Kokumbit,Ketawa,-
Kumosi,Cuci,-
Kumosik,Semut,-
Kundang,Tumpah,-
Kundot,Kental,-
Kuni,Kunyit,-
Toiyo,Tahu,-
"Kutup, Kudup",Hisap,-
Kutu,Kutu,-
"Laan, Panga",Dahan,-
Laang,Cahaya,-
"Laal, Malaal",Lapar,-
Laat,Dapat,-
Labi,Sisa,-
Labin,Timang,-
Labot,Temu,-
Labotan,Pasar,-
Labue,Beras,-
"Lakato, Akato",Rumpun,-
Lakit,"Muat, Naik",-
Lako,Tangkap,-
"Lala, Sua, Tosua","Bakar, Terbakar",-
Lalabak,"Main, Bermain",-
"Lalal, Lukul","Suara, Bunyi",-
Lalawu,Telanjang,-
Lalanto,Terapung,-
Lalong,"Dalam, Teluk",-
Lolo,Ikut,-
"Lambang, Soopon","Menyelam, Selam, Renang",-
Lambuyung,Aya Hutan,-
Lamas,Teras,-
Lampa,Lewat,-
Lampas,Rebut,-
Lamping,Kesurupan,-
"Lampot, Kampit","Lekat, Melekat",-
Lungas,Insang,-
Langkai,Suami,-
Langgong,Kakak,-
Lapa,"Suda, Selesai",-
Lapus,Hilang,-
"Lausalo, Baseeleon",Merantau,-
Leang,Jemur,-
"Lebeke, Lobok",Peluk,-
Lebes,"Turun, Keluar",-
Leesak,Terhambur,-
"Lekut, Lemat",Lumpuh,-
Lekes,"Kupas, Belah",-
"Lempak, Liba","Naik, Panjat",-
"Lemese, Lomos",Telan,-
Lengele,"Dengar, Dengarkan",-
Lengge,Mekar,-
Lengis,Sumbing,-
Leton,Retak,-
Lias,"Minggir, Membelok",-
"Liat, Osodii",Lepas,-
Libus,Angin Ribut,-
Liis,Mengidam,-
Liit,Marah,-
Liise,Melebihi,-
Lima,"Lima, Tangan",-
Limang,Kerja,-
Lisuk,"Samping, Rusuk",-
Limulus,Digulung,-
"Limpas, Usok",Masuk,-
Linggous,Embun,-
Lipopot,Kunang-kunang,-
